interest_rate,debt_to_income,term,loan_amount,verified_income,application_type,grade,balance,paid_total,paid_interest,paid_principal,paid_late_fees
20.39,28.3,60,28000,Source Verified,individual,D,27169.59,2180.32,1349.91,830.41,0
9.93,13.82,60,15000,Not Verified,individual,B,0,15005.166875,5.17,15000,0
6.08,0,36,2400,Source Verified,individual,A,0,2409.0499926707,9.05,2400,0
21.45,10.59,36,10000,Source Verified,individual,D,8961.95,1871.52,833.47,1038.05,0
15.04,17.06,60,24000,Verified,joint,C,23455.27,1102.83,558.1,544.73,0
10.42,18.53,36,9500,Not Verified,individual,B,8350.57,1531.1,381.67,1149.43,0
12.61,7.1,36,30000,Source Verified,individual,C,27196.39,3978.77,1175.16,2803.61,0
18.06,24.79,60,10000,Not Verified,joint,D,9465.3,1261.32,726.62,534.7,0
11.99,15.72,60,15000,Source Verified,individual,B,14254.01,1314.42,568.43,745.99,0
15.05,14.82,60,35000,Source Verified,individual,C,33391.61,3275.75,1667.36,1608.39,0
15.05,25.89,36,10000,Source Verified,individual,C,9097.26,1379.24,476.5,902.74,0
12.62,13.51,60,40000,Source Verified,individual,C,38042.58,3581.44,1624.02,1957.42,0
6.72,10.71,36,15000,Not Verified,individual,A,13092.56,2295,387.56,1907.44,0
6.71,2.68,36,20000,Not Verified,individual,A,18991.05,1214.89,205.94,1008.95,0
15.05,25.7,36,4500,Verified,individual,C,4093.75,620.68,214.43,406.25,0
9.93,3.64,60,16000,Not Verified,individual,B,14947.68,1688.22,635.9,1052.32,0
10.42,17.24,36,10000,Source Verified,individual,B,9036.27,1292.81,329.08,963.73,0
22.91,18.72,60,20000,Verified,individual,E,19255.22,2225.66,1480.88,744.78,0
30.79,19.64,60,20600,Not Verified,individual,G,19821.53,3345.79,2567.32,778.47,0
15.05,9.12,60,35000,Source Verified,individual,C,33396.01,3305.02,1701.03,1603.99,0
6.07,22.91,36,10000,Source Verified,joint,A,9234.27,910.25,144.52,765.73,0
6.07,21.41,36,12000,Not Verified,individual,A,11081.12,1092.3,173.42,918.88,0
17.47,13.05,36,1925,Source Verified,joint,D,1842.26,139.02,56.28,82.74,0
7.34,20.16,36,15000,Verified,individual,A,13871.88,1390.38,262.26,1128.12,0
13.59,39.08,36,20000,Verified,individual,C,18156.66,2703.22,859.88,1843.34,0
6.72,14.62,36,6000,Not Verified,individual,A,5391.31,736.88,128.19,608.69,0
5.31,11.64,36,10000,Not Verified,individual,A,8965.72,1201.49,167.21,1034.28,0
9.93,12.15,36,25000,Verified,individual,B,21955.1,4015.51,970.61,3044.9,0
9.92,12.58,36,10000,Source Verified,individual,B,9275.14,961.39,236.53,724.86,0
9.93,16.73,36,6000,Not Verified,individual,B,5417.78,768.68,186.46,582.22,0
14.07,28.13,60,20000,Verified,individual,C,19297.02,1367.03,664.05,702.98,0
7.97,7.89,36,15000,Source Verified,individual,A,13504.32,1866.08,370.4,1495.68,0
5.31,15.42,36,20000,Not Verified,individual,A,18452.04,1800.73,252.77,1547.96,0
9.93,32.4,60,10500,Not Verified,individual,B,9949.81,885.17,334.98,550.19,0
14.08,17.28,60,11400,Source Verified,individual,C,10862.71,1098.63,561.34,537.29,0
12.61,32.06,36,5500,Not Verified,individual,C,5116.52,549.02,165.54,383.48,0
12.62,3.7,36,5000,Source Verified,individual,C,4412.9,829.04,241.94,587.1,0
17.47,22.09,36,9600,Source Verified,individual,D,8976.73,1014.93,391.66,623.27,0
12.62,16.26,36,15000,Source Verified,individual,C,13238.74,2502.83,741.57,1761.26,0
6.71,8.72,36,10000,Source Verified,individual,A,9241.17,914.89,156.06,758.83,0
19.42,16.3,60,10450,Source Verified,individual,D,9609.03,1297.95,456.98,840.97,0
12.62,16.04,36,7200,Source Verified,individual,C,6527.2,960.11,287.31,672.8,0
14.08,28.42,60,35000,Not Verified,joint,C,32925.97,4119.53,2045.5,2074.03,0
10.91,21.94,36,4200,Verified,individual,B,3695.17,672.66,167.83,504.83,0
17.47,19.22,36,2400,Verified,individual,D,2244.18,256.06,100.24,155.82,0
18.06,37.74,36,12800,Verified,individual,D,11693.32,1871.83,765.15,1106.68,0
16.02,15.44,36,8000,Verified,joint,C,7103.69,1392.46,496.15,896.31,0
19.03,18.39,36,30000,Verified,individual,D,27442.4,4368.84,1811.24,2557.6,0
12.62,27.23,36,7000,Source Verified,individual,C,6178.08,1163.08,341.16,821.92,0
6.07,11.14,36,25000,Source Verified,individual,A,22441.1,3036.97,478.07,2558.9,0
9.43,1.56,60,40000,Source Verified,individual,B,37877.63,3220.14,1097.77,2122.37,0
10.42,17.44,60,24000,Verified,individual,B,22440.6,2505.09,945.69,1559.4,0
7.96,11.45,36,5000,Not Verified,individual,A,4627.27,465.35,92.62,372.73,0
13.59,21.09,60,40000,Not Verified,individual,C,37600,4550.85,2150.85,2400,0
15.04,34.86,60,15000,Source Verified,individual,C,14486.1,996.32,482.42,513.9,0
12.61,13.77,36,5000,Source Verified,individual,C,4651.37,499.12,150.49,348.63,0
7.96,9.61,36,7000,Source Verified,individual,A,6478.16,654.59,132.75,521.84,0
13.58,24.39,60,17450,Source Verified,individual,C,16828.69,1219.92,598.61,621.31,0
16.01,5.16,60,30000,Source Verified,individual,C,29336.68,1432.74,769.42,663.32,0
22.91,28.53,36,15000,Verified,individual,E,13791.64,2281.62,1073.26,1208.36,0
7.97,20.74,36,20000,Not Verified,individual,A,17499.09,3110.16,609.25,2500.91,0
18.06,12.22,60,15000,Not Verified,individual,D,14197.97,1891.95,1089.92,802.03,0
6.08,15.84,36,12000,Not Verified,individual,A,10771.9,1474.16,246.06,1228.1,0
5.32,3.82,36,16500,Source Verified,individual,A,14793.69,1982.72,276.41,1706.31,0
5.32,15.48,36,19200,Not Verified,individual,A,17214.48,2307.17,321.65,1985.52,0
9.93,14.16,36,7050,Source Verified,individual,B,6191.3,1132.41,273.71,858.7,0
20,49.58,60,15000,Verified,joint,D,14395.45,1572.97,968.42,604.55,0
15.05,13.27,36,11200,Not Verified,joint,C,10188.92,1535.39,524.31,1011.08,0
7.96,16.72,36,8000,Source Verified,individual,A,7403.61,744.57,148.18,596.39,0
26.77,18.5,60,20000,Source Verified,individual,E,19503.68,1764.42,1268.1,496.32,0
9.44,15.28,60,10800,Not Verified,individual,B,10081.03,1126.89,407.92,718.97,0
13.59,19.05,36,7200,Not Verified,individual,C,6536.39,1003.07,339.46,663.61,0
15.04,26.96,36,12000,Source Verified,individual,C,11192.5,1228.61,421.11,807.5,0
5.31,21.63,36,20000,Not Verified,individual,A,18452.04,1800.73,252.77,1547.96,0
14.08,24.77,36,7200,Verified,individual,C,0,7518.1804182483,318.18,7200,0
13.59,18.36,36,6000,Source Verified,individual,C,5304.78,1014.87,319.65,695.22,0
7.97,18.92,36,5000,Not Verified,individual,A,4501.41,622.05,123.46,498.59,0
9.93,14.66,60,16000,Source Verified,individual,B,14947.68,1688.22,635.9,1052.32,0
6.08,29.58,36,15600,Source Verified,individual,A,13599.28,2370.48,369.76,2000.72,0
21.85,37.83,60,10000,Not Verified,individual,D,9715.1,838.16,553.26,284.9,0
10.42,13.49,36,10000,Source Verified,individual,B,9036.27,1287.02,323.29,963.73,0
17.47,29.36,36,30000,Source Verified,individual,D,28052.31,3200.74,1253.05,1947.69,0
10.9,1.12,36,30000,Source Verified,individual,B,28577.07,1925.17,502.24,1422.93,0
6.08,18.67,36,16000,Not Verified,individual,A,13947.94,2425.89,373.83,2052.06,0
12.61,25.23,36,20000,Not Verified,individual,C,18605.56,1982.37,587.93,1394.44,0
23.87,27.56,36,6275,Verified,joint,E,5776.61,966.4,468.01,498.39,0
18.06,26.88,36,15000,Verified,individual,D,13703.13,2246.21,949.34,1296.87,0
13.59,21.45,60,16000,Source Verified,individual,C,15040,1832.42,872.42,960,0
16.02,15.3,36,10000,Source Verified,individual,C,9336.71,1032.76,369.47,663.29,0
9.93,16.13,36,25000,Verified,individual,B,22574.16,3209.65,783.81,2425.84,0
9.92,2.91,36,12000,Source Verified,individual,B,11130.17,1153.67,283.84,869.83,0
7.35,18.55,36,6000,Not Verified,individual,A,5243.39,928.7,172.09,756.61,0
10.91,9.19,36,12000,Source Verified,individual,B,10851.41,1562.17,413.58,1148.59,0
13.59,8.46,60,10000,Source Verified,individual,C,9522.69,903.4,426.09,477.31,0
14.07,9.8,36,20000,Source Verified,joint,C,18634.9,2037.09,671.99,1365.1,0
7.34,11.62,36,8500,Not Verified,individual,A,7860.74,787.87,148.61,639.26,0
15.05,24.31,60,36000,Verified,individual,C,34345.64,3399.46,1745.1,1654.36,0
6.72,14.66,36,40000,Verified,joint,A,35942.19,4890.01,832.2,4057.81,0
16.01,22.73,36,9000,Source Verified,individual,C,8402.95,941.38,344.33,597.05,0
7.34,9.91,36,7200,Not Verified,individual,A,6840.1,443.94,84.04,359.9,0
23.88,29.47,36,6100,Not Verified,individual,E,5615.58,939.57,455.15,484.42,0
15.05,27.68,36,2250,Not Verified,joint,C,1927.12,453.42,130.54,322.88,0
6.72,4.25,36,10000,Not Verified,individual,A,8985.52,1226.27,211.79,1014.48,0
21.45,16.97,36,25000,Source Verified,individual,D,22942.47,3731.1,1673.57,2057.53,0
25.82,19.44,60,16000,Verified,individual,E,0,16047.9689333335,47.97,16000,0
14.08,6.06,60,32000,Not Verified,individual,C,29785.98,4165.75,1951.73,2214.02,0
15.05,17.25,36,12000,Verified,individual,C,0,12006.5250000002,6.53,12000,0
9.44,23.33,36,10000,Not Verified,individual,B,9023.01,1274.96,297.97,976.99,0
17.09,33.19,36,2200,Verified,individual,D,2007.09,304.76,111.85,192.91,0
16.01,19.93,36,4800,Not Verified,individual,C,4481.56,512.75,194.31,318.44,0
10.9,15.31,60,35000,Source Verified,individual,B,33663.94,2235.36,899.3,1336.06,0
12.62,22.88,36,35000,Not Verified,individual,C,30890.38,5839.96,1730.34,4109.62,0
21.45,14.4,60,10000,Verified,individual,D,9612.44,1080.4,692.84,387.56,0
10.41,6.11,36,2400,Source Verified,joint,B,2227.24,230.95,58.19,172.76,0
5.32,18.65,36,19600,Not Verified,individual,A,17060.8,2945.46,406.26,2539.2,0
21.85,27.08,60,26000,Verified,individual,D,25259.29,2084.52,1343.81,740.71,0
18.06,11.73,60,12000,Not Verified,individual,D,11358.38,1495.5,853.88,641.62,0
5.32,7.82,36,13000,Source Verified,individual,A,11655.63,1562.16,217.79,1344.37,0
17.09,18.88,60,11750,Source Verified,individual,D,11238.19,1175.76,663.95,511.81,0
9.93,20.78,60,30000,Source Verified,individual,B,28825.95,1974.27,800.22,1174.05,0
6.08,19.42,36,7000,Source Verified,individual,A,6283.6,850.48,134.08,716.4,0
17.09,NA,60,20000,Not Verified,joint,D,19128.86,1944.61,1073.47,871.14,0
16.01,0.33,36,35000,Not Verified,individual,C,32678.16,3629.75,1307.91,2321.84,0
13.59,8.56,60,10000,Not Verified,individual,C,9522.69,914.73,437.42,477.31,0
9.92,14.16,36,20000,Source Verified,individual,B,18550.28,1922.78,473.06,1449.72,0
15.04,12.89,60,40000,Source Verified,individual,C,38629.65,2823.9,1453.55,1370.35,0
6.71,9.92,36,12000,Not Verified,individual,A,11089.41,1102.35,191.76,910.59,0
17.47,7.2,36,16000,Source Verified,joint,D,14961.22,1753.66,714.88,1038.78,0
11.99,27.06,36,10000,Source Verified,individual,B,8815.65,1703.8,519.45,1184.35,0
13.59,13.3,36,10000,Source Verified,individual,C,9078.33,1351.61,429.94,921.67,0
7.35,24.99,36,15000,Not Verified,individual,A,12832.7,2593.88,426.58,2167.3,0
10.42,0.54,60,24000,Source Verified,individual,B,22440.6,2539.82,980.42,1559.4,0
7.97,16.72,36,40000,Source Verified,individual,A,36011.51,4976.22,987.73,3988.49,0
9.92,10.62,60,25000,Not Verified,individual,B,24350.26,1046.62,396.88,649.74,0
12.61,39.34,36,32175,Verified,joint,C,29931.7,3189.13,945.83,2243.3,0
9.93,14.23,60,25000,Not Verified,individual,B,23355.79,2624.02,979.81,1644.21,0
14.07,21.79,60,24000,Not Verified,individual,C,23156.46,1640.41,796.87,843.54,0
14.08,5.96,60,15000,Source Verified,individual,C,14293.08,1386.87,679.95,706.92,0
12.62,22.49,60,36000,Source Verified,individual,C,33786.28,4035.41,1821.69,2213.72,0
16.02,17.28,60,20000,Source Verified,individual,C,18872.39,2388.4,1260.79,1127.61,0
14.07,29.38,60,30000,Not Verified,joint,C,28945.56,2073.97,1019.53,1054.44,0
18.06,24.57,36,11000,Source Verified,individual,D,1660.07,9814.99,475.06,9339.93,0
14.08,21.3,60,15000,Not Verified,individual,C,14111.13,1736.52,847.65,888.87,0
16.02,8.63,60,13500,Source Verified,individual,C,12895.16,1289.73,684.89,604.84,0
11.99,8.66,60,10000,Source Verified,individual,B,9375.22,1105.34,480.56,624.78,0
6.72,26.49,36,25000,Not Verified,individual,A,0,25477.714194151,477.71,25000,0
19.03,8.37,60,25000,Source Verified,individual,D,0,26813.835028791,1813.84,25000,0
6.71,11.33,36,28000,Source Verified,individual,A,25875.28,2572.14,447.42,2124.72,0
6.07,15.48,36,10000,Not Verified,individual,A,9234.27,920.37,154.64,765.73,0
7.35,16.95,36,10000,Source Verified,individual,A,8488.64,1824.43,313.07,1511.36,0
13.59,27.93,36,10000,Not Verified,individual,C,9078.33,1351.61,429.94,921.67,0
13.59,5.87,36,2500,Source Verified,individual,C,2210.33,420.03,130.36,289.67,0
5.31,12.42,36,6500,Not Verified,individual,A,5996.91,592.91,89.82,503.09,0
7.97,13.04,36,10000,Source Verified,individual,A,0,10220.624445269,220.62,10000,0
7.35,40.15,36,14500,Source Verified,joint,A,12671.55,2238.41,409.96,1828.45,0
11.99,11.88,36,40000,Verified,individual,B,35262.66,6761.85,2024.51,4737.34,0
16.02,25.41,36,16000,Not Verified,individual,C,14575.47,2236.48,811.95,1424.53,0
9.93,9.33,36,14000,Source Verified,joint,B,12610.69,1869.63,435.2,1389.31,45.12
19.42,27.74,36,10000,Not Verified,individual,D,0,10447.7809816452,447.78,10000,0
7.96,23.01,36,2400,Not Verified,individual,A,2221.07,223.39,44.46,178.93,0
13.59,10.83,36,17000,Source Verified,joint,C,15030.26,2875.41,905.67,1969.74,0
12.61,39.63,36,24000,Verified,joint,C,22326.66,2426.96,753.62,1673.34,0
19.03,18.09,36,20000,Verified,individual,D,18294.92,2912.58,1207.5,1705.08,0
16.01,7.08,36,30000,Source Verified,individual,C,28009.85,3137.9,1147.75,1990.15,0
6.72,2.54,36,3600,Not Verified,individual,A,3142.2,552.16,94.36,457.8,0
6.07,25.33,36,20000,Not Verified,individual,A,18468.54,1800.27,268.81,1531.46,0
15.05,23.92,36,8000,Source Verified,joint,C,7091.56,1380.91,472.47,908.44,0
6.07,29.72,36,16000,Source Verified,individual,A,14774.84,1450.99,225.83,1225.16,0
13.58,22.66,36,24000,Verified,individual,C,22350.13,2428.03,778.16,1649.87,0
10.42,5.68,36,2000,Source Verified,individual,B,1807.25,258.56,65.81,192.75,0
11.98,9.73,36,2000,Source Verified,individual,B,1859.35,196.57,55.92,140.65,0
9.43,2.78,36,6500,Source Verified,individual,B,6025.5,617.22,142.72,474.5,0
16.02,39.07,36,8000,Not Verified,individual,C,7287.73,1107.56,395.29,712.27,0
18.06,25.43,36,7000,Verified,individual,D,6394.79,1006.1,400.89,605.21,0
12.61,2.47,60,25000,Source Verified,individual,C,24087.05,1674.04,761.09,912.95,0
14.07,22.92,60,15000,Source Verified,individual,C,14472.78,1088.25,561.03,527.22,0
10.42,27.71,36,35000,Source Verified,individual,B,29736.97,6640.83,1377.8,5263.03,0
10.42,14.04,36,26000,Source Verified,individual,B,22854.22,4205.4,1059.62,3145.78,0
17.47,11.79,60,12000,Source Verified,individual,D,11614.7,880.55,495.25,385.3,0
10.91,30.54,60,10000,Not Verified,individual,B,9358.12,1078.84,436.96,641.88,0
5.32,18.63,36,15000,Not Verified,individual,A,13056.7,2249.78,306.48,1943.3,0
9.44,18.39,60,14000,Not Verified,joint,B,13068.02,1460.76,528.78,931.98,0
9.44,27.84,36,15000,Source Verified,joint,B,13905.19,1432.37,337.56,1094.81,0
14.08,9.24,36,10000,Not Verified,individual,C,9084.7,1353.04,437.74,915.3,0
7.35,14.31,36,5000,Not Verified,individual,A,4369.5,771.87,141.37,630.5,0
12.62,14.39,60,28125,Not Verified,individual,C,26395.51,3132.96,1403.47,1729.49,0
15.04,22.04,36,10000,Verified,individual,C,9327.09,1023.84,350.93,672.91,0
9.92,0,60,10000,Source Verified,individual,B,9608.54,652.78,261.32,391.46,0
10.9,15.81,60,40000,Verified,individual,B,38473.08,2578.91,1051.99,1526.92,0
6.72,27.6,36,10000,Not Verified,individual,A,9241.27,918.77,160.04,758.73,0
5.32,29.12,36,8000,Verified,individual,A,6920.52,1207.77,128.29,1079.48,0
11.99,7.57,60,35000,Verified,individual,B,33701.09,2311.83,1012.92,1298.91,0
5.32,10.67,36,20000,Source Verified,individual,A,17931.76,2394.42,326.18,2068.24,0
10.41,31.61,36,9000,Verified,individual,B,8047.14,1166.04,213.18,952.86,0
14.07,8.7,60,20000,Source Verified,individual,C,19534.08,916.57,450.65,465.92,0
6.07,15.05,36,3000,Not Verified,individual,A,2692.9,363.46,56.36,307.1,0
9.93,28.96,36,8000,Verified,joint,B,7223.7,1051.39,275.09,776.3,0
11.99,2.28,36,10000,Source Verified,individual,B,2700.05,7516.29,216.34,7299.95,0
6.71,12.9,36,5000,Verified,individual,A,4620.57,459.33,79.9,379.43,0
5.31,16.57,36,15000,Not Verified,individual,A,13839.02,1350.56,189.58,1160.98,0
13.59,18.03,60,10000,Not Verified,individual,C,9522.69,914.73,437.42,477.31,0
10.9,10.92,36,40000,Source Verified,individual,B,37141.21,4007.76,1148.97,2858.79,0
12.62,5.59,36,3000,Source Verified,individual,C,2719.66,400.06,119.72,280.34,0
10.42,27.02,36,1500,Not Verified,individual,B,1355.43,193.93,49.36,144.57,0
15.05,24.38,36,28000,Not Verified,individual,C,25472.33,3861.87,1334.2,2527.67,0
6.71,11.45,36,8000,Not Verified,individual,A,6939.85,1222.88,162.73,1060.15,0
21.45,28.8,60,20000,Source Verified,individual,D,19224.93,2160.77,1385.7,775.07,0
9.44,11.12,36,40000,Source Verified,individual,B,37080.55,3935,1015.55,2919.45,0
11.99,13.47,36,11000,Verified,individual,B,9323.13,2087.58,410.71,1676.87,0
11.99,16.93,36,3300,Not Verified,individual,B,2909.13,545.8,154.93,390.87,0
6.07,14.43,36,15000,Not Verified,individual,A,13851.4,1365.37,216.77,1148.6,0
5.31,16.08,36,11500,Source Verified,individual,A,10310.6,1378.3,188.9,1189.4,0
6.07,33.23,36,16500,Source Verified,individual,A,15236.55,1501.91,238.46,1263.45,0
19.42,23.73,60,15000,Source Verified,individual,D,14385.93,1537.99,923.92,614.07,0
21.85,14.37,60,35000,Verified,individual,D,34002.9,2848.55,1851.45,997.1,0
14.08,21.32,36,4400,Verified,individual,C,3997.25,598.8,196.05,402.75,0
18.06,18.66,60,19000,Verified,individual,D,17984.13,2487.84,1471.97,1015.87,0
10.91,27.2,36,3125,Source Verified,individual,B,2749.38,506.31,130.69,375.62,0
9.44,24.38,60,20000,Not Verified,individual,B,18668.58,2086.81,755.39,1331.42,0
12.62,17.23,60,20000,Verified,individual,C,19021.27,1790.74,812.01,978.73,0
9.44,7.75,60,10000,Not Verified,individual,B,9469.53,833.68,303.21,530.47,0
6.08,6.21,36,35000,Verified,individual,A,31418.07,4252.34,670.41,3581.93,0
11.98,26.88,36,14000,Not Verified,individual,B,12908.48,1481.36,389.84,1091.52,0
9.92,19.44,36,16000,Not Verified,individual,B,14840.23,1538.22,378.45,1159.77,0
13.59,19.2,36,8000,Source Verified,individual,C,7262.63,1072.26,334.89,737.37,0
10.41,16.31,36,7000,Not Verified,individual,B,6496.14,677.64,173.78,503.86,0
9.93,42.64,60,24000,Verified,joint,B,22421.54,2624.99,1046.53,1578.46,0
7.97,17.49,36,10000,Not Verified,individual,A,9002.87,1248.49,251.36,997.13,0
19.42,32.32,36,2500,Not Verified,individual,D,2342.31,277.72,120.03,157.69,0
18.45,18.17,60,25000,Verified,individual,D,24218.29,1871.69,1089.98,781.71,0
6.72,7.2,36,5000,Not Verified,individual,A,4364.17,765.02,129.19,635.83,0
10.91,3.48,36,9000,Source Verified,joint,B,8138.56,1171.62,310.18,861.44,0
17.47,20.73,36,5000,Source Verified,individual,D,4675.37,517.22,192.59,324.63,0
10.41,9.37,36,10000,Not Verified,individual,B,9522.22,643.44,165.66,477.78,0
6.72,74.38,36,1200,Verified,joint,A,438.66,784.05,22.71,761.34,0
9.44,15.28,36,10000,Not Verified,individual,B,9023.01,1269.71,292.72,976.99,0
12.61,9.09,36,6000,Source Verified,individual,C,5581.66,598.92,180.58,418.34,0
7.96,3.67,36,2500,Not Verified,individual,A,2376.16,155.49,31.65,123.84,0
10.9,2.7,36,32000,Verified,joint,B,30482.2,2167.03,649.23,1517.8,0
21.85,16.07,60,28000,Not Verified,individual,D,26926.65,2845.88,1772.53,1073.35,0
7.96,9.82,36,10000,Verified,individual,A,9504.67,630.79,135.46,495.33,0
9.43,21.08,60,35000,Verified,individual,B,33612.67,2183.27,795.94,1387.33,0
15.04,22.18,60,25000,Not Verified,individual,C,24143.51,1744.06,887.57,856.49,0
14.07,13.72,60,15000,Source Verified,individual,C,14472.78,1025.26,498.04,527.22,0
10.9,15.3,36,16000,Source Verified,individual,B,14856.47,1549.83,406.3,1143.53,0
6.08,13.82,36,20000,Not Verified,individual,A,17953.16,2429.92,383.08,2046.84,0
9.93,15.94,36,10000,Source Verified,individual,B,8782.01,1606.23,388.24,1217.99,0
12.61,11.52,36,10000,Not Verified,individual,C,9537.61,663.13,200.74,462.39,0
10.42,18.48,60,15000,Not Verified,individual,B,14223.68,1278.6,502.28,776.32,0
30.17,22.6,60,11100,Source Verified,individual,F,10672.97,1792.15,1365.12,427.03,0
19.42,21.22,60,24000,Verified,individual,D,23760.26,602.25,362.51,239.74,0
9.43,20.58,36,1950,Not Verified,individual,B,1855.46,123.8,29.26,94.54,0
17.47,7.2,60,15000,Verified,individual,D,14518.41,1115.21,633.62,481.59,0
7.34,16.62,36,8000,Source Verified,individual,A,7398.32,741.55,139.87,601.68,0
7.96,15.38,36,8500,Not Verified,individual,A,7866.34,791.11,157.45,633.66,0
13.58,17.62,36,12000,Source Verified,individual,C,11175.06,1214.02,389.08,824.94,0
9.43,10.85,60,24000,Verified,joint,B,23048.67,1497.12,545.79,951.33,0
21.85,36.25,60,12475,Verified,individual,D,12120.3,1015.33,660.63,354.7,0
21.85,27.28,60,11500,Not Verified,individual,D,11172.37,935.96,608.33,327.63,0
22.91,1.25,36,1000,Verified,individual,E,407.83,659.08,66.91,592.17,0
12.61,0.75,36,15000,Not Verified,individual,C,13954.16,1497.29,451.45,1045.84,0
9.93,12.08,36,13250,Verified,individual,B,11964.29,1690.17,404.46,1285.71,0
6.72,13.75,36,10000,Source Verified,individual,A,8985.52,1226.27,211.79,1014.48,0
19.42,8.59,36,18000,Source Verified,individual,D,16864.81,1952.08,816.89,1135.19,0
9.92,18.89,36,2400,Source Verified,individual,B,2226,226.8,52.8,174,0
14.07,19.97,60,21700,Not Verified,individual,C,21194.5,994.46,488.96,505.5,0
10.42,37.06,36,36525,Verified,individual,B,32105.81,5907.76,1488.57,4419.19,0
7.35,17.61,36,5000,Not Verified,individual,A,4497.14,618.72,115.86,502.86,0
6.71,27.51,36,28000,Not Verified,individual,A,25875.28,2561.7,436.98,2124.72,0
12.62,21.05,36,35000,Not Verified,individual,C,31729.59,4667.06,1396.65,3270.41,0
21.45,38.45,60,40000,Not Verified,joint,D,38847.77,3467.54,2315.31,1152.23,0
16.01,17.96,60,14000,Not Verified,individual,C,13532.58,1009.14,541.72,467.42,0
16.02,6.27,60,20000,Not Verified,individual,C,18873.31,2415.1,1288.41,1126.69,0
10.9,11.36,36,7000,Source Verified,individual,B,6499.71,678.04,177.75,500.29,0
11.99,9.11,36,20000,Source Verified,individual,B,17631.3,3307.68,938.98,2368.7,0
7.34,5.44,36,40000,Source Verified,individual,A,38000.6,2466.33,466.93,1999.4,0
12.61,15.46,36,10000,Not Verified,individual,C,9065.45,1333.27,398.72,934.55,0
6.71,7.2,36,8000,Source Verified,individual,A,7392.94,734.9,127.84,607.06,0
9.43,2.42,36,4000,Not Verified,individual,B,3707.99,379.84,87.83,292.01,0
13.59,34.13,36,30000,Not Verified,individual,C,26524.06,5074.2,1598.26,3475.94,0
6.08,17.68,36,20000,Not Verified,individual,A,14358.08,6078.19,436.27,5641.92,0
7.96,18.01,36,24000,Source Verified,individual,A,22210.89,2233.66,444.55,1789.11,0
7.35,25.65,36,4000,Not Verified,individual,A,3597.72,492.52,90.24,402.28,0
10.9,10.19,60,14000,Source Verified,individual,B,13465.57,902.62,368.19,534.43,0
